,Unnamed: 0.1,Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,n_cut,n_color,n_clarity,price_predicted
1064,1064,1064,0.27,Fair,E,VS1,66.4,58.0,3.99,4.02,2.66,0,5,4,470.93
1065,1065,1065,1.7,Ideal,H,I1,61.3,55.0,7.7,7.63,4.7,4,2,0,7093.94
1066,1066,1066,0.4,Very Good,E,SI1,60.8,62.0,4.72,4.76,2.88,2,5,2,730.88
1067,1067,1067,1.51,Good,E,SI2,63.1,58.0,7.28,7.31,4.6,1,5,1,9286.89
1068,1068,1068,0.3,Very Good,E,VS2,61.9,61.0,4.28,4.32,2.66,2,5,3,647.3
1069,1069,1069,0.64,Very Good,D,SI1,63.7,54.0,5.47,5.52,3.5,2,6,2,2070.54
1070,1070,1070,0.9,Good,F,SI1,62.8,64.0,6.18,5.99,3.82,1,4,2,3833.23
1071,1071,1071,1.0,Very Good,H,SI2,60.2,61.0,6.44,6.48,3.89,2,2,1,4088.43
1072,1072,1072,1.01,Ideal,D,VS2,59.8,56.0,6.49,6.52,3.89,4,6,3,7619.88
1073,1073,1073,0.41,Very Good,E,SI1,62.9,57.0,4.72,4.76,2.98,2,5,2,748.32
1074,1074,1074,1.0,Fair,F,VS2,68.4,58.0,5.97,6.1,4.13,0,4,3,5100.62
1075,1075,1075,0.31,Very Good,G,SI1,61.5,59.0,4.34,4.38,2.68,2,3,2,473.89
1076,1076,1076,1.03,Very Good,D,SI2,61.8,60.0,6.42,6.45,3.98,2,6,1,4616.54
1077,1077,1077,1.03,Premium,H,SI1,61.9,58.0,6.49,6.43,4.0,3,2,2,4694.66
1078,1078,1078,0.91,Premium,G,VVS2,61.8,58.0,6.24,6.16,3.83,3,3,5,5004.76
1079,1079,1079,0.31,Very Good,E,VVS1,60.0,56.0,4.45,4.49,2.68,2,5,6,878.66
1080,1080,1080,0.8,Very Good,E,SI1,62.9,60.0,5.87,5.89,3.7,2,5,2,3390.88
1081,1081,1081,1.02,Very Good,D,SI1,62.7,60.0,6.34,6.39,3.99,2,6,2,5616.74
1082,1082,1082,1.0,Ideal,G,VS1,62.5,54.0,6.41,6.45,4.02,4,3,4,7013.73
1083,1083,1083,0.34,Premium,D,SI1,62.8,58.0,4.48,4.44,2.8,3,6,2,799.05
1084,1084,1084,1.0,Ideal,G,VS2,62.3,54.0,6.42,6.38,3.99,4,3,3,6088.62
1085,1085,1085,0.73,Ideal,G,VS2,61.7,56.0,5.79,5.81,3.58,4,3,3,3006.23
1086,1086,1086,0.34,Good,E,SI1,63.3,57.0,4.44,4.47,2.82,1,5,2,590.95
1087,1087,1087,1.0,Premium,J,SI1,62.8,59.0,6.37,6.27,3.97,3,0,2,3288.43
1088,1088,1088,0.54,Ideal,G,VS1,61.8,55.3,5.22,5.24,3.23,4,3,4,1753.14
1089,1089,1089,1.02,Very Good,F,SI2,60.9,58.0,6.43,6.55,3.95,2,4,1,4251.8
1090,1090,1090,0.8,Very Good,G,VVS2,62.5,56.0,5.95,5.98,3.73,2,3,5,4421.15
1091,1091,1091,0.31,Very Good,H,SI1,61.0,61.0,4.33,4.39,2.66,2,2,2,439.92
1092,1092,1092,2.0,Premium,D,SI2,61.6,59.0,8.2,8.09,5.02,3,6,1,15741.36
1093,1093,1093,1.5,Premium,J,VVS2,61.5,60.0,7.31,7.27,4.48,3,0,5,8545.45
1094,1094,1094,1.22,Premium,I,SI2,62.5,58.0,6.8,6.76,4.24,3,1,1,4909.76
1095,1095,1095,0.72,Very Good,I,VS2,61.8,60.0,5.72,5.76,3.55,2,1,3,2335.6
1096,1096,1096,0.3,Good,G,SI2,63.3,57.0,4.25,4.28,2.7,1,3,1,400.73
1097,1097,1097,0.54,Good,E,VS2,60.2,61.0,5.27,5.32,3.19,1,5,3,1634.85
1098,1098,1098,1.02,Premium,F,SI1,62.3,58.0,6.38,6.46,4.0,3,4,2,5086.83
1099,1099,1099,1.01,Very Good,F,VS2,63.1,60.0,6.39,6.29,4.0,2,4,3,6034.02
1100,1100,1100,0.3,Ideal,G,IF,60.9,56.0,4.34,4.36,2.65,4,3,7,859.5
1101,1101,1101,1.19,Premium,I,SI2,61.6,56.0,6.87,6.83,4.22,3,1,1,4610.88
1102,1102,1102,1.51,Good,I,SI2,63.6,60.0,7.23,7.27,4.61,1,1,1,7547.53
1103,1103,1103,1.02,Good,G,I1,57.4,59.0,6.64,6.6,3.8,1,3,0,2715.38
1104,1104,1104,3.22,Ideal,I,I1,62.6,55.0,9.49,9.42,5.92,4,1,0,12772.0
1105,1105,1105,0.41,Ideal,E,SI1,62.9,57.0,4.76,4.72,2.98,4,5,2,956.7
1106,1106,1106,0.52,Very Good,D,SI2,62.4,59.0,5.05,5.15,3.18,2,6,1,1184.03
1107,1107,1107,1.52,Premium,D,SI1,60.8,61.0,7.39,7.26,4.45,3,6,2,11822.08
1108,1108,1108,0.36,Ideal,H,VVS1,62.0,54.0,4.59,4.61,2.85,4,2,6,814.9
1109,1109,1109,0.51,Premium,D,SI1,62.7,59.0,5.08,5.06,3.18,3,6,2,1561.66
1110,1110,1110,0.53,Premium,J,VS2,62.7,56.0,5.18,5.15,3.24,3,0,3,1104.4
1111,1111,1111,1.01,Good,F,SI2,61.3,62.0,6.44,6.48,3.96,1,4,1,4198.97
1112,1112,1112,0.7,Good,F,I1,63.9,60.0,5.65,5.52,3.58,1,4,0,1067.87
1113,1113,1113,0.34,Ideal,H,VS2,61.2,55.0,4.49,4.53,2.76,4,2,3,536.02
1114,1114,1114,1.04,Premium,G,VS2,62.2,58.0,6.49,6.4,4.01,3,3,3,6170.68
1115,1115,1115,0.39,Premium,E,VS2,60.1,61.0,4.76,4.72,2.85,3,5,3,1030.23
1116,1116,1116,1.01,Premium,F,VS1,61.7,58.0,6.4,6.43,3.96,3,4,4,7342.54
1117,1117,1117,0.3,Very Good,F,VVS1,62.6,56.0,4.27,4.29,2.68,2,4,6,791.8
1118,1118,1118,1.71,Ideal,G,VS1,63.0,56.0,7.65,7.58,4.8,4,3,4,15266.62
1119,1119,1119,1.1,Premium,H,VS2,61.4,58.0,6.68,6.62,4.08,3,2,3,5765.15
1120,1120,1120,1.15,Ideal,H,SI2,62.6,55.0,6.74,6.65,4.19,4,2,1,4385.17
1121,1121,1121,0.32,Ideal,H,VS1,61.8,55.0,4.41,4.42,2.73,4,2,4,565.49
1122,1122,1122,2.01,Premium,G,SI2,59.9,62.0,8.15,8.04,4.85,3,3,1,13241.69
1123,1123,1123,0.24,Very Good,G,VVS1,61.7,56.0,3.98,4.02,2.46,2,3,6,480.62
1124,1124,1124,0.41,Very Good,E,SI2,62.9,58.0,4.74,4.77,2.99,2,5,1,678.1
1125,1125,1125,0.28,Very Good,D,VVS1,60.6,58.0,4.23,4.25,2.57,2,6,6,642.2
1126,1126,1126,0.31,Premium,D,SI1,60.9,60.0,4.38,4.39,2.67,3,6,2,676.8
1127,1127,1127,0.45,Good,F,VS2,56.8,62.0,5.1,5.14,2.91,1,4,3,1130.08
1128,1128,1128,0.44,Very Good,E,VS1,60.7,58.0,4.88,4.91,2.97,2,5,4,1114.17
1129,1129,1129,0.37,Ideal,F,VVS1,61.3,56.0,4.65,4.68,2.86,4,4,6,1109.09
1130,1130,1130,0.9,Premium,G,VS2,62.4,61.0,6.17,6.13,3.84,3,3,3,4237.67
1131,1131,1131,0.53,Ideal,F,SI2,62.2,53.0,5.19,5.22,3.24,4,4,1,1100.0
1132,1132,1132,0.54,Premium,I,IF,58.8,61.0,5.35,5.29,3.13,3,1,7,1778.12
1133,1133,1133,1.0,Very Good,E,VS2,59.0,58.0,6.49,6.53,3.84,2,5,3,6566.14
1134,1134,1134,0.32,Ideal,F,IF,61.3,57.0,4.42,4.46,2.72,4,4,7,985.77
1135,1135,1135,1.23,Premium,H,SI2,61.2,57.0,6.89,6.86,4.21,3,2,1,5362.81
1136,1136,1136,1.02,Very Good,E,SI2,62.8,55.0,6.4,6.43,4.03,2,5,1,4495.05
1137,1137,1137,0.56,Premium,E,VVS2,59.2,56.0,5.49,5.39,3.22,3,5,5,2484.97
1138,1138,1138,0.43,Ideal,H,IF,62.2,55.0,4.87,4.84,3.02,4,2,7,1224.0
1139,1139,1139,0.52,Ideal,G,VS1,62.1,54.0,5.14,5.17,3.2,4,3,4,1694.55
1140,1140,1140,0.38,Very Good,G,SI1,61.8,53.7,4.67,4.69,2.9,2,3,2,727.95
1141,1141,1141,0.9,Very Good,I,VVS1,63.4,57.0,6.09,6.12,3.87,2,1,6,4175.72
1142,1142,1142,1.72,Premium,H,SI1,62.0,57.0,7.67,7.63,4.74,3,2,2,10109.54
1143,1143,1143,0.31,Very Good,H,SI1,61.7,59.0,4.36,4.39,2.7,2,2,2,466.56
1144,1144,1144,2.02,Premium,F,SI2,61.0,59.0,8.2,8.13,4.98,3,4,1,16599.13
1145,1145,1145,0.56,Ideal,E,VVS2,61.0,56.0,5.32,5.36,3.26,4,5,5,2534.79
1146,1146,1146,0.42,Ideal,G,IF,62.0,57.0,4.82,4.8,2.98,4,3,7,1344.75
1147,1147,1147,0.34,Very Good,I,SI1,61.3,61.0,4.45,4.49,2.74,2,1,2,454.16
1148,1148,1148,0.43,Ideal,G,VS1,62.3,56.0,4.82,4.85,3.01,4,3,4,928.93
1149,1149,1149,1.51,Fair,J,SI1,63.4,60.0,7.31,7.18,4.59,0,0,2,6296.42
1150,1150,1150,0.32,Very Good,G,VS2,60.2,57.0,4.42,4.45,2.67,2,3,3,566.32
1151,1151,1151,1.24,Premium,G,VS1,62.0,55.0,6.95,6.89,4.29,3,3,4,8545.23
1152,1152,1152,0.31,Ideal,E,VS1,61.4,56.0,4.38,4.35,2.68,4,5,4,934.94
1153,1153,1153,1.32,Ideal,G,VVS2,62.3,57.0,6.96,7.04,4.36,4,3,5,11961.02
1154,1154,1154,1.02,Ideal,H,SI2,61.6,55.0,6.49,6.43,3.98,4,2,1,3966.38
1155,1155,1155,0.7,Very Good,J,VS2,61.1,61.0,5.64,5.69,3.46,2,0,3,1902.96
1156,1156,1156,1.0,Premium,F,VS1,62.7,55.0,6.39,6.34,3.99,3,4,4,7438.46
1157,1157,1157,0.41,Ideal,G,VS2,61.4,59.0,4.78,4.76,2.93,4,3,3,1036.72
1158,1158,1158,0.52,Premium,G,SI1,59.7,60.0,5.22,5.2,3.11,3,3,2,1311.56
1159,1159,1159,0.51,Very Good,D,VS2,60.5,60.0,5.16,5.19,3.13,2,6,3,1757.34
1160,1160,1160,0.3,Premium,D,SI1,61.7,59.0,4.28,4.31,2.65,3,6,2,532.57
1161,1161,1161,0.39,Good,D,VVS2,58.1,60.0,4.82,4.85,2.81,1,6,5,1014.04
1162,1162,1162,0.38,Premium,G,IF,62.5,60.0,4.64,4.61,2.89,3,3,7,1119.11
1163,1163,1163,1.01,Premium,F,SI2,58.3,58.0,6.56,6.55,3.82,3,4,1,4057.89
1164,1164,1164,1.36,Ideal,G,SI1,60.9,56.0,7.15,7.16,4.36,4,3,2,8294.09
1165,1165,1165,1.21,Ideal,I,SI1,60.6,55.0,6.92,6.87,4.18,4,1,2,5364.86
1166,1166,1166,0.3,Very Good,F,IF,62.1,57.0,4.26,4.3,2.66,2,4,7,876.62
1167,1167,1167,0.41,Premium,D,VVS1,62.2,58.0,4.77,4.71,2.95,3,6,6,1519.81
1168,1168,1168,2.03,Premium,J,VS1,59.3,60.0,8.36,8.28,4.93,3,0,4,13932.81
1169,1169,1169,0.36,Ideal,D,SI1,62.5,56.0,4.55,4.57,2.85,4,6,2,690.46
1170,1170,1170,0.4,Premium,D,SI1,61.4,56.0,4.83,4.72,2.93,3,6,2,996.5
1171,1171,1171,2.11,Premium,D,SI2,60.9,60.0,8.28,8.21,5.02,3,6,1,15594.57
1172,1172,1172,1.06,Ideal,H,SI1,63.0,55.0,6.49,6.44,4.08,4,2,2,4666.96
1173,1173,1173,0.33,Good,I,VS1,63.2,57.0,4.37,4.4,2.77,1,1,4,513.96
1174,1174,1174,0.72,Premium,E,IF,61.3,60.0,5.74,5.71,3.51,3,5,7,4072.1
1175,1175,1175,1.51,Good,J,SI1,62.4,64.0,7.31,7.23,4.54,1,0,2,7101.79
1176,1176,1176,1.0,Premium,G,VS2,62.9,56.0,6.42,6.27,3.99,3,3,3,6020.15
1177,1177,1177,1.02,Ideal,F,SI1,62.8,55.0,6.43,6.4,4.03,4,4,2,5501.78
1178,1178,1178,0.43,Ideal,E,SI2,62.1,56.0,4.85,4.84,3.01,4,5,1,825.34
1179,1179,1179,1.0,Fair,G,I1,66.4,59.0,6.16,6.09,4.07,0,3,0,2077.38
1180,1180,1180,1.7,Premium,I,SI1,58.6,59.0,7.79,7.75,4.55,3,1,2,9926.46
1181,1181,1181,0.72,Ideal,D,SI2,61.1,58.0,5.76,5.79,3.53,4,6,1,2574.89
1182,1182,1182,1.22,Premium,G,SI1,63.0,57.0,6.84,6.74,4.28,3,3,2,6008.78
1183,1183,1183,1.06,Good,F,VS1,58.5,57.0,6.68,6.73,3.92,1,4,4,7528.763333333332
1184,1184,1184,1.11,Ideal,H,SI1,60.2,54.0,6.82,6.7,4.07,4,2,2,5262.35
1185,1185,1185,1.01,Premium,H,SI2,61.9,59.0,6.42,6.37,3.96,3,2,1,4100.91
1186,1186,1186,1.06,Premium,G,VVS1,61.1,58.0,6.53,6.57,4.0,3,3,6,8277.53
1187,1187,1187,1.54,Premium,E,SI2,59.0,62.0,7.59,7.56,4.47,3,5,1,9051.59
1188,1188,1188,0.56,Very Good,E,SI1,58.5,59.0,5.42,5.45,3.18,2,5,2,1493.0036666666667
1189,1189,1189,0.25,Good,F,VS1,63.6,57.0,4.01,4.04,2.56,1,4,4,483.38
1190,1190,1190,0.9,Ideal,D,SI1,61.6,56.0,6.19,6.21,3.82,4,6,2,4982.4
1191,1191,1191,0.56,Fair,E,SI2,64.5,61.0,5.18,5.14,3.33,0,5,1,1165.07
1192,1192,1192,0.31,Ideal,F,IF,60.8,56.0,4.43,4.45,2.7,4,4,7,974.66
1193,1193,1193,0.39,Very Good,D,VS2,60.2,59.0,4.74,4.76,2.86,2,6,3,869.72
1194,1194,1194,1.01,Premium,F,VS1,59.4,60.0,6.5,6.46,3.85,3,4,4,7328.263333333333
1195,1195,1195,2.02,Ideal,I,SI1,62.4,56.0,8.07,8.11,5.05,4,1,2,15617.86
1196,1196,1196,1.03,Ideal,D,SI2,61.2,57.0,6.51,6.59,4.01,4,6,1,4841.98
1197,1197,1197,1.57,Premium,H,VS1,61.7,58.0,7.47,7.56,4.64,3,2,4,11366.64
1198,1198,1198,0.31,Very Good,D,IF,62.0,56.0,4.33,4.35,2.69,2,6,7,1180.83
1199,1199,1199,0.5,Premium,D,SI1,61.1,59.0,5.08,5.04,3.09,3,6,2,1423.34
1200,1200,1200,0.3,Ideal,E,VS2,62.4,57.0,4.29,4.24,2.66,4,5,3,840.67
1201,1201,1201,1.22,Very Good,D,SI2,62.2,58.0,6.85,6.91,4.28,2,6,1,6258.04
1202,1202,1202,0.27,Very Good,F,VVS2,61.9,58.0,4.17,4.2,2.59,2,4,5,627.53
1203,1203,1203,0.41,Ideal,E,VVS1,61.9,55.0,4.79,4.78,2.96,4,5,6,1364.54
1204,1204,1204,1.24,Premium,F,SI1,61.6,59.0,6.9,6.86,4.24,3,4,2,6894.4
1205,1205,1205,0.41,Very Good,I,VVS1,62.0,56.0,4.75,4.77,2.95,2,1,6,972.2525
1206,1206,1206,0.4,Ideal,G,SI2,62.5,53.0,4.75,4.79,2.98,4,3,1,597.76
1207,1207,1207,1.01,Ideal,F,SI1,62.0,57.0,6.38,6.42,3.97,4,4,2,5192.11
1208,1208,1208,1.5,Premium,I,VS1,62.7,59.0,7.25,7.3,4.56,3,1,4,9850.35
1209,1209,1209,0.56,Ideal,D,SI2,61.3,56.0,5.3,5.33,3.26,4,6,1,1370.35
1210,1210,1210,0.36,Ideal,I,VS1,62.1,57.0,4.54,4.58,2.83,4,1,4,573.38
1211,1211,1211,1.51,Premium,I,VS2,59.9,60.0,7.42,7.36,4.43,3,1,3,8904.1
1212,1212,1212,1.3,Very Good,I,VS1,62.1,59.0,6.97,7.01,4.34,2,1,4,6720.87
1213,1213,1213,0.32,Ideal,G,VVS1,61.7,56.0,4.41,4.37,2.71,4,3,6,1037.13
1214,1214,1214,0.26,Very Good,E,SI1,62.0,54.0,4.08,4.11,2.54,2,5,2,450.58
1215,1215,1215,1.51,Very Good,E,SI2,61.8,57.0,7.34,7.32,4.53,2,5,1,8845.15
1216,1216,1216,0.33,Premium,E,VVS1,60.1,58.0,4.51,4.47,2.7,3,5,6,1036.5
1217,1217,1217,1.34,Ideal,G,VS1,62.7,57.0,7.04,7.1,4.43,4,3,4,10554.43
1218,1218,1218,1.01,Good,E,SI1,63.2,59.0,6.25,6.28,3.96,1,5,2,5043.07
1219,1219,1219,1.0,Premium,G,VS2,60.0,59.0,6.54,6.46,3.9,3,3,3,5918.07
1220,1220,1220,1.42,Ideal,F,VVS1,60.8,56.0,7.25,7.32,4.43,4,4,6,16724.33
1221,1221,1221,0.9,Premium,H,VS2,61.2,61.0,6.18,6.08,3.75,3,2,3,3906.73
1222,1222,1222,1.01,Very Good,E,VS2,63.4,60.0,6.37,6.31,4.02,2,5,3,6424.76
1223,1223,1223,0.36,Premium,D,VS2,60.5,58.0,4.63,4.6,2.79,3,6,3,1010.56
1224,1224,1224,0.7,Premium,E,SI1,59.1,62.0,5.8,5.74,3.41,3,5,2,2475.27
1225,1225,1225,0.37,Good,G,SI2,63.3,55.0,4.58,4.61,2.91,1,3,1,554.57
1226,1226,1226,0.91,Very Good,E,SI1,63.3,56.0,6.12,6.17,3.89,2,5,2,4283.16
1227,1227,1227,0.8,Ideal,H,VS2,62.8,57.0,5.91,5.87,3.7,4,2,3,2808.89
1228,1228,1228,0.9,Good,E,SI2,63.4,60.0,6.02,6.07,3.83,1,5,1,3478.32
1229,1229,1229,0.31,Ideal,G,IF,61.7,56.0,4.38,4.34,2.69,4,3,7,971.55
1230,1230,1230,1.51,Good,G,VS1,62.4,59.0,7.25,7.28,4.53,1,3,4,13584.66
1231,1231,1231,1.11,Premium,I,SI2,61.5,58.0,6.65,6.61,4.08,3,1,1,3916.76
1232,1232,1232,0.41,Ideal,H,VS1,61.0,54.0,4.84,4.8,2.94,4,2,4,1097.2
1233,1233,1233,1.01,Very Good,J,SI2,62.8,59.0,6.34,6.37,3.99,2,0,1,3539.99
1234,1234,1234,0.7,Ideal,D,VS2,61.6,58.0,5.66,5.7,3.5,4,6,3,3285.33
1235,1235,1235,1.63,Ideal,G,VS1,61.7,55.0,7.6,7.56,4.68,4,3,4,14707.82
1236,1236,1236,1.61,Premium,D,SI2,61.3,58.0,7.56,7.49,4.61,3,6,1,9150.16
1237,1237,1237,0.72,Very Good,H,SI1,63.0,58.0,5.68,5.71,3.59,2,2,2,2254.41
1238,1238,1238,0.54,Premium,G,VS2,62.0,58.0,5.21,5.18,3.22,3,3,3,1613.26
1239,1239,1239,1.22,Very Good,G,IF,62.0,59.0,6.8,6.85,4.23,2,3,7,9721.32
1240,1240,1240,0.33,Premium,G,IF,59.4,59.0,4.54,4.49,2.68,3,3,7,1003.02
1241,1241,1241,1.34,Very Good,G,VS2,60.7,59.0,7.04,7.07,4.28,2,3,3,9020.34
1242,1242,1242,0.76,Ideal,H,VVS1,61.8,57.0,5.82,5.86,3.61,4,2,6,3238.62
1243,1243,1243,1.74,Ideal,E,SI2,62.3,57.0,7.8,7.7,4.83,4,5,1,12251.75
1244,1244,1244,0.32,Ideal,G,SI1,61.3,57.0,4.37,4.4,2.69,4,3,2,479.63
1245,1245,1245,0.5,Ideal,F,VS2,61.1,58.0,5.1,5.13,3.13,4,4,3,1470.29
1246,1246,1246,1.44,Good,G,I1,63.2,54.8,7.18,7.21,4.54,1,3,0,4461.24
1247,1247,1247,0.7,Fair,I,SI1,65.2,58.0,5.6,5.56,3.64,0,1,2,1827.15
1248,1248,1248,0.52,Ideal,E,VS2,61.4,54.0,5.2,5.23,3.2,4,5,3,1675.54
1249,1249,1249,0.73,Very Good,G,VVS1,62.9,59.0,5.7,5.78,3.61,2,3,6,3380.04
1250,1250,1250,1.23,Premium,H,VS1,61.1,58.0,6.91,6.86,4.21,3,2,4,7232.13
1251,1251,1251,1.02,Premium,H,VS2,61.9,57.0,6.5,6.4,3.99,3,2,3,5247.3025
1252,1252,1252,1.0,Ideal,E,SI1,61.6,55.0,6.45,6.43,3.97,4,5,2,5598.72
1253,1253,1253,0.7,Very Good,D,SI1,61.1,58.0,5.66,5.73,3.48,2,6,2,2693.44
1254,1254,1254,1.5,Very Good,E,SI2,62.8,57.0,7.17,7.23,4.52,2,5,1,8556.52
1255,1255,1255,2.0,Very Good,J,VVS2,63.0,59.0,7.97,8.0,5.03,2,0,5,15309.71
1256,1256,1256,0.3,Very Good,G,VS2,63.1,56.0,4.28,4.25,2.69,2,3,3,677.07
1257,1257,1257,0.26,Premium,E,VVS2,58.9,61.0,4.19,4.16,2.46,3,5,5,693.34
1258,1258,1258,0.58,Premium,E,SI1,62.7,58.0,5.33,5.32,3.34,3,5,2,1680.29
1259,1259,1259,0.4,Very Good,F,VS1,60.4,61.0,4.74,4.77,2.87,2,4,4,946.49
1260,1260,1260,0.26,Ideal,D,VS1,62.0,55.0,4.12,4.1,2.55,4,6,4,539.02
1261,1261,1261,1.0,Fair,H,SI2,65.1,58.0,6.27,6.15,4.05,0,2,1,3258.03
1262,1262,1262,0.52,Fair,F,VS1,57.2,59.0,5.35,5.39,3.07,0,4,4,1621.22
1263,1263,1263,1.02,Premium,D,SI2,59.7,60.0,6.58,6.55,3.92,3,6,1,4823.7
1264,1264,1264,1.7,Good,I,SI1,59.3,58.0,7.72,7.77,4.59,1,1,2,9934.11
1265,1265,1265,1.01,Premium,H,SI2,61.6,61.0,6.39,6.31,3.91,3,2,1,3782.19
1266,1266,1266,0.55,Ideal,E,VS2,61.8,57.0,5.34,5.27,3.28,4,5,3,1861.34
1267,1267,1267,1.04,Good,F,VS1,63.2,57.0,6.41,6.44,4.06,1,4,4,7374.47
1268,1268,1268,1.02,Premium,D,VS2,62.9,60.0,6.42,6.37,4.02,3,6,3,7208.65
1269,1269,1269,0.3,Ideal,F,SI1,62.3,54.0,4.3,4.27,2.67,4,4,2,571.64
1270,1270,1270,0.97,Ideal,F,I1,60.7,56.0,6.43,6.41,3.9,4,4,0,2791.37
1271,1271,1271,0.31,Ideal,E,VS2,62.0,55.0,4.35,4.33,2.69,4,5,3,867.26
1272,1272,1272,0.81,Ideal,H,VS1,61.8,58.0,5.97,6.04,3.71,4,2,4,3374.57
1273,1273,1273,1.02,Premium,D,SI1,62.3,59.0,6.42,6.38,3.99,3,6,2,5861.73
1274,1274,1274,0.3,Premium,I,VVS1,61.1,59.0,4.31,4.33,2.64,3,1,6,621.49
1275,1275,1275,0.4,Very Good,E,VS1,62.8,59.0,4.63,4.67,2.92,2,5,4,923.92
1276,1276,1276,0.71,Very Good,F,VVS1,63.2,60.0,5.65,5.61,3.56,2,4,6,3172.05
1277,1277,1277,0.7,Premium,G,SI1,61.5,58.0,5.69,5.76,3.52,3,3,2,2284.33
1278,1278,1278,0.23,Ideal,E,SI2,61.5,55.0,3.95,3.98,2.43,4,5,1,505.38
1279,1279,1279,1.09,Ideal,G,VS1,62.3,55.0,6.59,6.63,4.12,4,3,4,7508.32
1280,1280,1280,0.3,Ideal,E,VVS2,61.0,56.0,4.33,4.39,2.66,4,5,5,810.65
1281,1281,1281,0.35,Premium,E,VS2,59.5,58.0,4.59,4.62,2.74,3,5,3,773.27
1282,1282,1282,1.13,Ideal,F,VS2,62.1,56.0,6.65,6.71,4.15,4,4,3,8213.18
1283,1283,1283,0.31,Ideal,G,VVS1,61.5,54.0,4.36,4.39,2.69,4,3,6,787.57
1284,1284,1284,1.33,Ideal,I,VS2,61.1,54.0,7.14,7.15,4.37,4,1,3,7157.96
1285,1285,1285,1.25,Premium,I,SI2,60.5,58.0,7.0,6.96,4.22,3,1,1,4868.711666666667
1286,1286,1286,2.0,Fair,H,SI1,61.2,50.0,8.17,8.08,4.97,0,2,2,16747.41
1287,1287,1287,0.7,Ideal,G,SI1,62.5,56.0,5.67,5.69,3.55,4,3,2,2326.975714285714
1288,1288,1288,0.39,Good,F,VS2,64.3,55.0,4.56,4.64,2.96,1,4,3,769.8
1289,1289,1289,0.5,Ideal,E,VS2,60.8,57.0,5.16,5.13,3.13,4,5,3,1800.16
1290,1290,1290,0.3,Premium,E,VS2,61.6,58.0,4.33,4.31,2.66,3,5,3,843.98
1291,1291,1291,1.37,Ideal,J,VS2,63.0,57.0,7.11,7.05,4.46,4,0,3,6340.13
1292,1292,1292,0.8,Ideal,H,VS2,62.1,54.0,5.96,5.99,3.71,4,2,3,3139.94
1293,1293,1293,0.28,Very Good,F,VVS1,60.1,59.0,4.24,4.25,2.55,2,4,6,608.09
1294,1294,1294,0.34,Good,E,SI1,60.5,60.1,4.5,4.53,2.73,1,5,2,603.58
1295,1295,1295,0.3,Very Good,E,VS2,62.6,58.0,4.25,4.28,2.67,2,5,3,662.86
1296,1296,1296,0.85,Ideal,E,SI2,62.8,57.0,6.06,6.01,3.79,4,5,1,2986.97
1297,1297,1297,1.0,Very Good,E,SI1,60.9,59.0,6.38,6.43,3.9,2,5,2,5397.66
1298,1298,1298,0.41,Premium,G,VS2,62.6,59.0,4.73,4.76,2.97,3,3,3,838.19
1299,1299,1299,1.5,Premium,G,VS2,60.3,60.0,7.34,7.26,4.4,3,3,3,11362.34
1300,1300,1300,0.72,Very Good,H,SI2,63.3,57.0,5.7,5.67,3.6,2,2,1,2034.76
1301,1301,1301,0.33,Premium,G,VS1,62.0,59.0,4.42,4.36,2.72,3,3,4,850.76
1302,1302,1302,0.39,Ideal,E,IF,61.5,55.5,4.68,4.72,2.88,4,5,7,1310.71
1303,1303,1303,0.4,Ideal,E,VS2,61.4,57.0,4.78,4.75,2.92,4,5,3,991.08
1304,1304,1304,1.01,Good,F,SI1,63.5,59.0,6.29,6.38,4.02,1,4,2,4731.51
1305,1305,1305,1.02,Ideal,I,SI2,60.6,56.0,6.57,6.53,3.97,4,1,1,3768.26
1306,1306,1306,1.01,Ideal,D,SI1,63.0,56.0,6.36,6.41,4.02,4,6,2,5789.44
1307,1307,1307,0.7,Ideal,F,SI1,61.8,56.0,5.68,5.75,3.53,4,4,2,2467.94
1308,1308,1308,0.57,Very Good,F,VS2,59.5,57.0,5.39,5.43,3.22,2,4,3,1747.61
1309,1309,1309,1.5,Very Good,F,SI1,63.9,58.0,7.12,7.16,4.56,2,4,2,10280.26
1310,1310,1310,1.01,Premium,J,SI2,59.3,56.0,6.51,6.45,3.84,3,0,1,3434.34
1311,1311,1311,0.51,Ideal,D,VS2,61.2,55.0,5.17,5.13,3.15,4,6,3,1853.39
1312,1312,1312,1.0,Premium,E,SI2,61.7,58.0,6.39,6.34,3.93,3,5,1,4407.68
1313,1313,1313,0.71,Premium,E,VVS1,62.5,57.0,5.67,5.62,3.53,3,5,6,3741.2
1314,1314,1314,0.52,Very Good,D,VVS2,59.8,55.0,5.28,5.35,3.18,2,6,5,2583.41
1315,1315,1315,0.4,Good,I,IF,62.3,62.0,4.69,4.72,2.93,1,1,7,996.98
1316,1316,1316,0.81,Premium,I,VVS2,62.9,59.0,5.95,5.84,3.71,3,1,5,2855.05
1317,1317,1317,0.53,Ideal,F,VVS2,61.3,55.0,5.23,5.27,3.22,4,4,5,2239.69
1318,1318,1318,2.02,Premium,I,SI2,59.4,59.0,8.25,8.21,4.89,3,1,1,13891.63
1319,1319,1319,2.11,Ideal,I,SI1,61.0,57.0,8.37,8.29,5.08,4,1,2,14861.13
